Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Estados pequeos del Caribe;CSS;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;27695208097;27978372072;28528882047;26203362022;24806982797;25222981167;26225193537;27077785907;28405224277;28791492647;2848522;3003396;3081146;3422346;3511006;3662706;4035077;4106658;3849849;3597417;3830147;3966078;3911825;4047758;400854586;392844;37223056;363133;378015;3761499;3277699
Cuba;CUB;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;356216;27418;217718;201523;217194;231755;252034;274482;271125;279985;283531;274651;264235;256286;253648;263179;267802;276775;267471;269796;28110;275863;286909;288697;266771;292098;271764;262413;266746;244185;243278
Chipre;CYP;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;45912;5109;54797;57358;59779;5848;62113;63049;6610;68711;71277;69921;71685;78341;77788;79008;79994;83071;84907;82761;78984;76346;70988;64277;68118;68519;72192;73612;71986;7191;67718
República Checa;CZE;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;1531493;1397571;1368424;1309822;1251997;124519;1284837;1260058;1197673;1123599;1247167;1243413;1202099;1233729;123786;1218936;1225536;1244328;1187183;1132461;1141676;1112201;1073202;1029103;999606;1011675;102998;1035499;1027343;977129;888352
Alemania;DEU;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;9553077;9325481;8928174;887057;8758971;8746594;9043374;8726465;8652537;8335949;8302841;8476782;8333822;8367945;8210736;8023832;8144131;783803;7896904;7348055;7730691;7464773;7601277;7761518;7360117;7423144;7471472;7322042;7077702;6586935;6033505
Djibouti;DJI;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;2741;2882;3045;3058;2955;3158;296;3318;3938;3933;3734;3765;3996;4144;3958;4293;4326;4702;4743;4655;5191;4749;4926;55879;40217;44655;39547;4034;4149;42827;4277
Dominica;DMA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;627;627;628;661;694;831;697;911;929;1023;1253;1391;1056;1215;1443;1484;1553;164;1657;1638;1725;1521;167;1714;180;1809;1825;1656;1653;1741;1628
Dinamarca;DNK;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;51978;627003;569703;593011;631715;600384;733751;636173;597103;567285;52602;542454;538397;59234;537276;502019;58134;534114;501277;479336;481248;43098;382162;399607;35820;337049;353403;33184;331333;296965;273565
República Dominicana;DOM;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;78607;82296;96204;95204;111383;118447;127285;145028;166161;17794;186706;189837;208841;187252;172822;186908;203685;206268;205813;196572;206808;209139;216815;212872;214507;235905;245935;235513;25366;257752;228813
Argelia;DZA;Emisiones de CO2 (kt);EN.ATM.CO2E.KT;629369;664285;668446;722191;736062;764402;761238;744332;746491;775053;800468;786455;824043;881889;894927;941878;998087;1027502;1077455;1121722;1141794;1207849;1349342;1390241;1477352;156273;1546543;1577044;1645341;1705824;161563
